id,nome,altura,endereco
3055,Beatriz Gomes Lopes,183,"Avenida Anchieta, 852 - Centro"
3056,Mariana Gomes Amancio,178,"Avenida Francisco Glicério, 1612 - Centro"
3057,Guilherme Queiroz Amancio,153,"Rua Marechal Deodoro, 1423 - Vila Itapura"
3058,Giovanna Cristine dos Santos,166,"Avenida Albino José Barbosa de Oliveira, 2432 - Barão Geraldo"
3059,Yasmin Ferreira Ribeiro,184,"Avenida Francisco Glicério, 1445 - Centro"
3060,Henrique da Silva Silva,162,"Rua Maria Monteiro, 575 - Cambuí"
3061,Matheus Amorim Trindade,190,"Avenida Anchieta, 136 - Centro"
3062,Daniel Mesquita Amaral,188,"Avenida Alberto Sarmento, 431 - Castelo"
3063,Clara de Oliveira Pinto,164,"Avenida Albino José Barbosa de Oliveira, 2763 - Barão Geraldo"
3064,Pedro Fernandes Pinto,204,"Rua Paula Bueno, 122 - Taquaral"
3065,Vinícius Queiroz Camargo,178,"Avenida Alberto Sarmento, 1076 - Castelo"
3066,Rafael Ferreira Silva,178,"Avenida Heitor Penteado, 2584 - Taquaral"
3067,Victor Ferreira Campos,160,"Rua Barão de Itapura, 1051 - Guanabara"
3068,Thiago Braz Domingues,201,"Avenida Andrade Neves, 1233 - Castelo"
3069,Erik Paschoalino Pinto,181,"Rua Marechal Deodoro, 1208 - Vila Itapura"
3070,Gabriel Santana Rodrigues,151,"Avenida Andrade Neves, 639 - Castelo"
3071,Yasmin Amorim Domingues,196,"Rua Sampaio Ferraz, 359 - Cambuí"
3072,Giovanna da Silva Silva,163,"Avenida Heitor Penteado, 1572 - Taquaral"
3073,Matheus Braz Ribeiro,169,"Rua Doutor Delfino Cintra, 125 - Vila Itapura"
3074,Miguel Fernandes Campos,171,"Avenida Andrade Neves, 1754 - Castelo"
3075,Larissa Mesquita Ribeiro,160,"Avenida Brasil, 2005 - Guanabara"
3076,Sofia Cristine Mendonça,176,"Rua Doutor Delfino Cintra, 240 - Vila Itapura"
3077,Mariana Franco Amancio,152,"Avenida Brasil, 372 - Guanabara"
3078,Vitória Bellini Barbosa,166,"Avenida Andrade Neves, 998 - Castelo"
3079,Vitória Cruz Mendes,193,"Rua Doutor Delfino Cintra, 866 - Vila Itapura"
3080,Felipe Bellini Araujo,177,"Avenida Andrade Neves, 1737 - Castelo"
3081,Mariana Vieira Araujo,178,"Rua Sampaio Ferraz, 117 - Cambuí"
3082,Clara Paschoalino Barbosa,170,"Rua Doutor Delfino Cintra, 872 - Vila Itapura"
3083,Samuel Amorim Mengue,196,"Avenida Andrade Neves, 1040 - Castelo"
3084,Vitória Ferreira Dias,165,"Avenida Andrade Neves, 1728 - Castelo"
3085,Livia Ferreira dos Santos,186,"Avenida Andrade Neves, 1470 - Castelo"
3086,Beatriz Gomes Melo,169,"Rua Maria Monteiro, 217 - Cambuí"
3087,Sofia Gomes Ribeiro,155,"Avenida Andrade Neves, 1004 - Castelo"
3088,Mariana Cruz Campos,168,"Rua Barão de Itapura, 1006 - Guanabara"
3089,Livia Santana Lima,154,"Rua Barão de Itapura, 2826 - Guanabara"
3090,Victor Mesquita Silva,152,"Avenida Heitor Penteado, 2912 - Taquaral"
3091,Miguel Martins Machado,150,"Avenida Albino José Barbosa de Oliveira, 2494 - Barão Geraldo"
3092,Clara Nascimento Campos,187,"Rua Barão de Itapura, 272 - Guanabara"
3093,Samuel Paschoalino Soares,164,"Avenida Brasil, 413 - Guanabara"
3094,Gabriel Franco Soares,183,"Avenida Brasil, 491 - Guanabara"
3095,Erik Martins Silva,184,"Rua Marechal Deodoro, 838 - Vila Itapura"
3096,Miguel de Almeida Mendonça,198,"Rua Barão de Itapura, 1712 - Guanabara"
3097,Victor Ferreira Soares,174,"Avenida Alberto Sarmento, 721 - Castelo"
3098,Eduardo Alves Campos,173,"Avenida Andrade Neves, 1897 - Castelo"
3099,Beatriz Santana Lima,161,"Avenida Brasil, 1643 - Guanabara"
3100,Pedro Santana Amancio,167,"Rua Doutor Delfino Cintra, 695 - Vila Itapura"
3101,Giovanna da Silva Trindade,164,"Rua Maria Monteiro, 1171 - Cambuí"
3102,Beatriz Queiroz dos Santos,193,"Avenida Francisco Glicério, 1357 - Centro"
3103,Samuel da Silva Pereira,165,"Rua Coronel Quirino, 1985 - Cambuí"
3104,Pedro Fernandes Athayde,176,"Avenida Albino José Barbosa de Oliveira, 2996 - Barão Geraldo"
3105,Beatriz Amorim Pinto,157,"Avenida Albino José Barbosa de Oliveira, 1478 - Barão Geraldo"
3106,Daniel Matos Machado,195,"Rua Doutor Delfino Cintra, 370 - Vila Itapura"
3107,Mariana Bellini Sanches,174,"Avenida Anchieta, 466 - Centro"
3108,Yasmin Bellini Dias,166,"Rua Marechal Deodoro, 764 - Vila Itapura"
3109,Sofia Ferreira Mendonça,178,"Avenida Albino José Barbosa de Oliveira, 3158 - Barão Geraldo"
3110,Livia Amorim Pereira,202,"Rua Marechal Deodoro, 528 - Vila Itapura"
3111,João Ferreira Castilho,157,"Rua Barão de Itapura, 3133 - Guanabara"
3112,Vitória Vieira Machado,164,"Avenida Albino José Barbosa de Oliveira, 3208 - Barão Geraldo"
3113,Giovanna Nascimento Trindade,176,"Rua Marechal Deodoro, 1123 - Vila Itapura"
3114,Samuel Nascimento Campos,195,"Rua Marechal Deodoro, 783 - Vila Itapura"
3115,Vitória da Silva Ribeiro,199,"Avenida Heitor Penteado, 1306 - Taquaral"
3116,Thiago Alves Amaral,201,"Rua Doutor Delfino Cintra, 113 - Vila Itapura"
3117,André Martins Silva,156,"Avenida Alberto Sarmento, 841 - Castelo"
3118,Miguel de Almeida Trindade,152,"Rua Paula Bueno, 481 - Taquaral"
3119,Clara Martins Castilho,178,"Rua Doutor Delfino Cintra, 217 - Vila Itapura"
3120,Giovanna de Oliveira Silva,193,"Rua Paula Bueno, 818 - Taquaral"
3121,Erik de Almeida Campos,202,"Rua Paula Bueno, 840 - Taquaral"
3122,Vinícius Matos Sanches,173,"Rua Marechal Deodoro, 445 - Vila Itapura"
3123,Daniel Queiroz Trindade,152,"Avenida Heitor Penteado, 466 - Taquaral"
3124,Maria Braz Araujo,169,"Avenida Anchieta, 940 - Centro"
3125,Daniel Alves Soares,195,"Rua Barão de Itapura, 3199 - Guanabara"
3126,Pedro Alves dos Santos,164,"Avenida Brasil, 1640 - Guanabara"
3127,Victor de Almeida Castilho,174,"Avenida Brasil, 823 - Guanabara"
3128,Vitória Ponciano Mengue,179,"Rua Maria Monteiro, 1467 - Cambuí"
3129,Gabriel de Medeiros Silva,163,"Rua Barão de Itapura, 1178 - Guanabara"
3130,Victor Ferreira Mendonça,156,"Avenida Anchieta, 555 - Centro"
3131,Eduardo Amorim Machado,166,"Rua Paula Bueno, 372 - Taquaral"
3132,Beatriz Ferreira Silva,193,"Avenida Albino José Barbosa de Oliveira, 3471 - Barão Geraldo"
3133,Beatriz de Almeida Melo,169,"Avenida Andrade Neves, 2522 - Castelo"
3134,Erik Martins Pereira,185,"Avenida Brasil, 1336 - Guanabara"
3135,Vinícius Ferreira Castilho,158,"Avenida Anchieta, 855 - Centro"
3136,André Queiroz Sanches,187,"Rua Maria Monteiro, 1132 - Cambuí"
3137,Guilherme Vieira dos Santos,197,"Avenida Anchieta, 36 - Centro"
3138,Miguel Franco Ribeiro,171,"Avenida Albino José Barbosa de Oliveira, 3422 - Barão Geraldo"
3139,Pedro de Almeida Trindade,203,"Avenida Alberto Sarmento, 512 - Castelo"
3140,Vitória Ponciano Amaral,202,"Avenida Anchieta, 673 - Centro"
3141,Eduardo Ferreira Sanches,202,"Rua Marechal Deodoro, 397 - Vila Itapura"
3142,Larissa de Almeida Amaral,151,"Rua Coronel Quirino, 599 - Cambuí"
3143,Matheus Martins Melo,173,"Rua Sampaio Ferraz, 504 - Cambuí"
3144,Erik Queiroz Pinto,157,"Rua Doutor Delfino Cintra, 434 - Vila Itapura"
3145,Miguel Franco Dias,160,"Avenida Brasil, 1698 - Guanabara"
3146,Clara Santana Pereira,162,"Avenida Anchieta, 652 - Centro"
3147,Livia Cruz Senzaki,166,"Rua Barão de Itapura, 3158 - Guanabara"
3148,André de Oliveira Machado,157,"Rua Paula Bueno, 639 - Taquaral"
3149,Samuel Queiroz Domingues,170,"Avenida Albino José Barbosa de Oliveira, 1503 - Barão Geraldo"
3150,Vitória Cruz Amaral,167,"Avenida Anchieta, 563 - Centro"
3151,Daniel de Almeida Ribeiro,179,"Avenida Heitor Penteado, 2849 - Taquaral"
3152,Vinícius Franco Athayde,167,"Avenida Anchieta, 890 - Centro"
3153,Thiago Gomes Machado,195,"Rua Marechal Deodoro, 1729 - Vila Itapura"
3154,Larissa Cristine Amancio,196,"Avenida Brasil, 405 - Guanabara"
3155,Pedro Queiroz Silva,180,"Rua Doutor Delfino Cintra, 558 - Vila Itapura"
3156,Vinícius Gomes Sanches,187,"Avenida Heitor Penteado, 2484 - Taquaral"
3157,André Queiroz Castilho,181,"Avenida Anchieta, 744 - Centro"
3158,Maria Martins Domingues,160,"Avenida Alberto Sarmento, 962 - Castelo"
3159,João de Medeiros Rodrigues,194,"Avenida Heitor Penteado, 1895 - Taquaral"
3160,Samuel Ponciano Trindade,174,"Rua Barão de Itapura, 2136 - Guanabara"
3161,Thiago Alves da Costa,182,"Rua Barão de Itapura, 364 - Guanabara"
3162,Larissa Nascimento Campos,187,"Avenida Francisco Glicério, 2303 - Centro"
3163,Victor Matos Dias,190,"Avenida Albino José Barbosa de Oliveira, 1433 - Barão Geraldo"
3164,Daniel Ponciano Silva,157,"Avenida Albino José Barbosa de Oliveira, 271 - Barão Geraldo"
3165,Giovanna Alves Lima,160,"Avenida Andrade Neves, 277 - Castelo"
3166,Gabriel Vieira Camargo,171,"Avenida Andrade Neves, 2343 - Castelo"
3167,Vinícius Gomes Domingues,200,"Avenida Heitor Penteado, 2932 - Taquaral"
3168,Giovanna de Oliveira Mengue,173,"Rua Barão de Itapura, 1864 - Guanabara"
3169,Rafael Paschoalino Dias,190,"Avenida Alberto Sarmento, 821 - Castelo"
3170,Samuel Cristine Machado,166,"Avenida Anchieta, 327 - Centro"
3171,André Nascimento Castilho,161,"Rua Barão de Itapura, 1453 - Guanabara"
3172,Felipe Matos da Costa,195,"Avenida Anchieta, 157 - Centro"
3173,Henrique Ponciano Campos,181,"Rua Doutor Delfino Cintra, 893 - Vila Itapura"
3174,Daniel Cruz Domingues,164,"Rua Sampaio Ferraz, 64 - Cambuí"
3175,Mariana Ferreira Melo,165,"Avenida Andrade Neves, 2416 - Castelo"
3176,Giovanna Gomes Domingues,203,"Rua Maria Monteiro, 1267 - Cambuí"
3177,Victor da Silva Amaral,171,"Rua Sampaio Ferraz, 433 - Cambuí"
3178,Giovanna Queiroz Pereira,177,"Avenida Alberto Sarmento, 408 - Castelo"
3179,Larissa de Oliveira Domingues,169,"Avenida Francisco Glicério, 752 - Centro"
3180,Sofia Gomes Ribeiro,182,"Rua Sampaio Ferraz, 516 - Cambuí"
3181,Erik da Silva Mendes,159,"Avenida Alberto Sarmento, 689 - Castelo"
3182,Sofia Alves Melo,189,"Rua Maria Monteiro, 836 - Cambuí"
3183,Guilherme Ferreira Campos,181,"Rua Barão de Itapura, 1769 - Guanabara"
3184,Larissa Matos Pereira,199,"Avenida Albino José Barbosa de Oliveira, 577 - Barão Geraldo"
3185,Yasmin Cruz Barbosa,182,"Rua Doutor Delfino Cintra, 197 - Vila Itapura"
3186,Matheus Cristine Araujo,151,"Rua Coronel Quirino, 827 - Cambuí"
3187,Gabriel Fernandes da Costa,182,"Avenida Anchieta, 910 - Centro"
3188,Rafael de Almeida Senzaki,182,"Rua Paula Bueno, 285 - Taquaral"
3189,Felipe Martins Pereira,190,"Avenida Anchieta, 421 - Centro"
3190,Thiago Braz da Costa,162,"Avenida Francisco Glicério, 1448 - Centro"
3191,Sofia Franco Rodrigues,179,"Avenida Alberto Sarmento, 705 - Castelo"
3192,Matheus Matos Athayde,182,"Avenida Albino José Barbosa de Oliveira, 2155 - Barão Geraldo"
3193,Erik Nascimento Castilho,162,"Avenida Heitor Penteado, 2492 - Taquaral"
3194,André Vieira Sanches,201,"Rua Sampaio Ferraz, 70 - Cambuí"
3195,Eduardo Alves Amaral,175,"Avenida Andrade Neves, 401 - Castelo"
3196,Maria Vieira Amancio,171,"Avenida Francisco Glicério, 2177 - Centro"
3197,Giovanna Santana Campos,188,"Rua Maria Monteiro, 679 - Cambuí"
3198,Clara Franco Athayde,151,"Avenida Albino José Barbosa de Oliveira, 123 - Barão Geraldo"
3199,Yasmin Nascimento Pereira,187,"Rua Doutor Delfino Cintra, 889 - Vila Itapura"
3200,Vinícius Amorim Machado,188,"Rua Maria Monteiro, 396 - Cambuí"
3201,Guilherme Matos Amaral,175,"Avenida Andrade Neves, 754 - Castelo"
3202,Beatriz de Almeida Castilho,195,"Avenida Brasil, 1424 - Guanabara"
3203,Pedro Fernandes Mengue,199,"Rua Sampaio Ferraz, 168 - Cambuí"
3204,Felipe Queiroz da Costa,164,"Rua Barão de Itapura, 2451 - Guanabara"
3205,Samuel Mesquita dos Santos,183,"Avenida Anchieta, 733 - Centro"
3206,Beatriz Franco Machado,191,"Rua Marechal Deodoro, 1139 - Vila Itapura"
3207,Samuel Matos Trindade,204,"Avenida Anchieta, 41 - Centro"
3208,Vinícius de Almeida Soares,193,"Avenida Brasil, 502 - Guanabara"
3209,Beatriz da Silva Trindade,198,"Rua Doutor Delfino Cintra, 308 - Vila Itapura"
3210,Mariana Paschoalino Mendonça,189,"Rua Coronel Quirino, 1498 - Cambuí"
3211,Clara Bellini Lima,160,"Avenida Francisco Glicério, 418 - Centro"
3212,Livia da Silva Soares,152,"Avenida Albino José Barbosa de Oliveira, 2481 - Barão Geraldo"
3213,Livia Nascimento Dias,155,"Avenida Anchieta, 970 - Centro"
3214,Felipe Martins Mengue,158,"Avenida Albino José Barbosa de Oliveira, 3221 - Barão Geraldo"
3215,Yasmin Matos Amancio,155,"Avenida Albino José Barbosa de Oliveira, 2749 - Barão Geraldo"
3216,Clara Gomes Camargo,158,"Avenida Brasil, 1395 - Guanabara"
3217,Yasmin Gomes Dias,188,"Avenida Anchieta, 154 - Centro"
3218,João da Silva Sanches,180,"Avenida Anchieta, 202 - Centro"
3219,Giovanna Santana Amaral,181,"Rua Doutor Delfino Cintra, 52 - Vila Itapura"
3220,Felipe Fernandes Pereira,190,"Avenida Heitor Penteado, 1977 - Taquaral"
3221,Victor Paschoalino Melo,199,"Rua Marechal Deodoro, 1164 - Vila Itapura"
3222,Erik Ponciano Machado,161,"Rua Sampaio Ferraz, 680 - Cambuí"
3223,Daniel Gomes Amancio,157,"Rua Paula Bueno, 511 - Taquaral"
3224,Samuel Mesquita Pinto,157,"Rua Paula Bueno, 377 - Taquaral"
3225,Daniel Martins Melo,199,"Avenida Albino José Barbosa de Oliveira, 1209 - Barão Geraldo"
3226,Sofia Ferreira Melo,177,"Avenida Andrade Neves, 1665 - Castelo"
3227,Rafael Fernandes Pereira,169,"Avenida Albino José Barbosa de Oliveira, 347 - Barão Geraldo"
3228,Victor Alves Lima,196,"Avenida Albino José Barbosa de Oliveira, 2022 - Barão Geraldo"
3229,Gabriel Braz Lima,156,"Rua Coronel Quirino, 1249 - Cambuí"
3230,Miguel Queiroz Lopes,160,"Avenida Albino José Barbosa de Oliveira, 1262 - Barão Geraldo"
3231,Victor Paschoalino Ribeiro,169,"Avenida Albino José Barbosa de Oliveira, 3167 - Barão Geraldo"
3232,Daniel Bellini Amancio,165,"Avenida Alberto Sarmento, 1090 - Castelo"
3233,Livia Amorim da Costa,153,"Rua Marechal Deodoro, 485 - Vila Itapura"
3234,Gabriel Queiroz Rodrigues,155,"Rua Coronel Quirino, 1927 - Cambuí"
3235,Gabriel Braz Domingues,171,"Avenida Brasil, 1294 - Guanabara"
3236,João Martins Mendes,175,"Avenida Alberto Sarmento, 1104 - Castelo"
3237,André Matos Sanches,152,"Rua Maria Monteiro, 630 - Cambuí"
3238,Giovanna Santana Camargo,190,"Avenida Albino José Barbosa de Oliveira, 1450 - Barão Geraldo"
3239,Clara Nascimento Soares,191,"Avenida Brasil, 1786 - Guanabara"
3240,Yasmin Braz Amancio,163,"Avenida Alberto Sarmento, 1051 - Castelo"
3241,Sofia de Almeida Ribeiro,160,"Avenida Heitor Penteado, 888 - Taquaral"
3242,Henrique da Silva dos Santos,167,"Rua Coronel Quirino, 480 - Cambuí"
3243,Victor Bellini Mendonça,203,"Avenida Anchieta, 84 - Centro"
3244,Yasmin Queiroz dos Santos,161,"Avenida Alberto Sarmento, 1024 - Castelo"
3245,Pedro de Oliveira Trindade,172,"Avenida Francisco Glicério, 195 - Centro"
3246,Yasmin Santana Barbosa,161,"Avenida Albino José Barbosa de Oliveira, 2833 - Barão Geraldo"
3247,Giovanna de Oliveira Trindade,162,"Rua Coronel Quirino, 109 - Cambuí"
3248,Felipe Santana Sanches,174,"Avenida Anchieta, 191 - Centro"
3249,Vinícius da Silva Silva,194,"Avenida Albino José Barbosa de Oliveira, 1532 - Barão Geraldo"
3250,Larissa Cristine Senzaki,200,"Rua Doutor Delfino Cintra, 55 - Vila Itapura"
3251,Clara Queiroz Soares,168,"Avenida Francisco Glicério, 2462 - Centro"
3252,Pedro Franco Mengue,204,"Avenida Anchieta, 913 - Centro"
3253,Larissa Gomes Athayde,195,"Avenida Albino José Barbosa de Oliveira, 849 - Barão Geraldo"
3254,Pedro da Silva Amaral,185,"Avenida Andrade Neves, 1686 - Castelo"
3255,Henrique Alves Dias,194,"Avenida Alberto Sarmento, 861 - Castelo"
3256,Giovanna Alves Mendonça,157,"Rua Doutor Delfino Cintra, 396 - Vila Itapura"
3257,Larissa Martins Melo,178,"Avenida Heitor Penteado, 2009 - Taquaral"
3258,Livia Santana Lima,204,"Avenida Heitor Penteado, 2576 - Taquaral"
3259,Victor Cruz Athayde,202,"Avenida Andrade Neves, 181 - Castelo"
3260,Samuel Ponciano Ribeiro,204,"Avenida Andrade Neves, 537 - Castelo"
3261,Sofia de Medeiros Machado,181,"Avenida Alberto Sarmento, 154 - Castelo"
3262,João Nascimento Barbosa,200,"Avenida Alberto Sarmento, 246 - Castelo"
3263,Matheus de Almeida Lopes,193,"Avenida Anchieta, 78 - Centro"
3264,Daniel Matos Machado,167,"Avenida Anchieta, 181 - Centro"
3265,Miguel Braz Rodrigues,155,"Avenida Andrade Neves, 2798 - Castelo"
3266,André Paschoalino Soares,167,"Avenida Andrade Neves, 1176 - Castelo"
3267,Felipe Nascimento Dias,168,"Rua Barão de Itapura, 1266 - Guanabara"
3268,Daniel Braz Campos,171,"Rua Doutor Delfino Cintra, 121 - Vila Itapura"
3269,Vinícius Bellini Mendonça,186,"Rua Marechal Deodoro, 908 - Vila Itapura"
3270,Sofia Bellini Trindade,181,"Rua Marechal Deodoro, 277 - Vila Itapura"
3271,Giovanna Alves Amaral,190,"Rua Barão de Itapura, 922 - Guanabara"
3272,Henrique da Silva Mendonça,152,"Avenida Francisco Glicério, 1930 - Centro"
3273,Pedro Ponciano dos Santos,177,"Avenida Albino José Barbosa de Oliveira, 466 - Barão Geraldo"
3274,Maria Matos Lima,159,"Avenida Francisco Glicério, 1599 - Centro"
3275,João da Silva Barbosa,200,"Avenida Francisco Glicério, 286 - Centro"
3276,Livia Bellini Lopes,184,"Avenida Anchieta, 640 - Centro"
3277,Erik Ferreira Silva,178,"Rua Paula Bueno, 392 - Taquaral"
3278,Victor Queiroz Trindade,203,"Avenida Albino José Barbosa de Oliveira, 2725 - Barão Geraldo"
3279,Vitória Cristine Araujo,164,"Avenida Brasil, 871 - Guanabara"
3280,Giovanna Santana Mendes,182,"Avenida Andrade Neves, 189 - Castelo"
3281,Maria Nascimento dos Santos,156,"Avenida Brasil, 635 - Guanabara"
3282,Eduardo Cruz Ribeiro,161,"Rua Paula Bueno, 459 - Taquaral"
3283,Thiago Paschoalino Mendonça,198,"Rua Paula Bueno, 510 - Taquaral"
3284,Maria Alves Silva,179,"Avenida Alberto Sarmento, 811 - Castelo"
3285,Mariana Martins Mendes,170,"Avenida Albino José Barbosa de Oliveira, 1205 - Barão Geraldo"
3286,Yasmin Braz da Costa,180,"Avenida Brasil, 932 - Guanabara"
3287,Pedro Mesquita Melo,173,"Avenida Francisco Glicério, 1385 - Centro"
3288,Sofia Ferreira Athayde,169,"Avenida Andrade Neves, 113 - Castelo"
3289,Livia Cristine Rodrigues,186,"Rua Doutor Delfino Cintra, 81 - Vila Itapura"
3290,Erik de Medeiros dos Santos,153,"Rua Marechal Deodoro, 1332 - Vila Itapura"
3291,Vitória Bellini Ribeiro,177,"Rua Barão de Itapura, 2380 - Guanabara"
3292,Vitória Amorim Senzaki,193,"Avenida Francisco Glicério, 2251 - Centro"
3293,Miguel Braz Melo,169,"Avenida Heitor Penteado, 466 - Taquaral"
3294,João da Silva Mendes,173,"Avenida Alberto Sarmento, 849 - Castelo"
3295,Sofia Bellini Campos,199,"Avenida Brasil, 705 - Guanabara"
3296,André Ponciano Senzaki,198,"Avenida Andrade Neves, 1527 - Castelo"
3297,João Queiroz Amaral,200,"Rua Maria Monteiro, 222 - Cambuí"
3298,Felipe Ferreira Dias,181,"Avenida Alberto Sarmento, 22 - Castelo"
3299,Mariana Amorim Mendes,190,"Avenida Albino José Barbosa de Oliveira, 2314 - Barão Geraldo"
3300,Erik Mesquita Campos,185,"Rua Coronel Quirino, 1674 - Cambuí"
3301,Henrique Queiroz Machado,202,"Avenida Brasil, 929 - Guanabara"
3302,Pedro Fernandes Amancio,183,"Rua Marechal Deodoro, 1254 - Vila Itapura"
3303,Livia Franco Camargo,185,"Avenida Brasil, 91 - Guanabara"
3304,Miguel Amorim Silva,151,"Avenida Andrade Neves, 2350 - Castelo"
3305,Erik Amorim da Costa,164,"Avenida Andrade Neves, 1166 - Castelo"
3306,Henrique Ponciano Castilho,183,"Avenida Andrade Neves, 1851 - Castelo"
3307,Vinícius Ferreira Pereira,185,"Avenida Alberto Sarmento, 1014 - Castelo"
3308,Clara Vieira Mendonça,155,"Rua Barão de Itapura, 1513 - Guanabara"
3309,Henrique Santana Pinto,188,"Avenida Andrade Neves, 1972 - Castelo"
3310,Henrique Amorim Camargo,191,"Avenida Anchieta, 559 - Centro"
3311,Rafael Bellini Amaral,200,"Avenida Heitor Penteado, 601 - Taquaral"
3312,Mariana Nascimento Melo,200,"Avenida Heitor Penteado, 1601 - Taquaral"
3313,Miguel da Silva Araujo,203,"Avenida Heitor Penteado, 1517 - Taquaral"
3314,Victor Martins Lopes,161,"Avenida Alberto Sarmento, 894 - Castelo"
3315,Maria de Almeida Mendonça,152,"Rua Doutor Delfino Cintra, 157 - Vila Itapura"
3316,André Cruz Araujo,194,"Rua Coronel Quirino, 940 - Cambuí"
3317,Gabriel Queiroz Melo,167,"Avenida Alberto Sarmento, 833 - Castelo"
3318,Yasmin Matos Araujo,189,"Avenida Anchieta, 223 - Centro"
3319,Clara de Oliveira Mendonça,170,"Avenida Albino José Barbosa de Oliveira, 1721 - Barão Geraldo"
3320,Livia Cristine Senzaki,164,"Avenida Albino José Barbosa de Oliveira, 1828 - Barão Geraldo"
3321,Clara Alves Mendes,182,"Avenida Albino José Barbosa de Oliveira, 1499 - Barão Geraldo"
3322,Beatriz Paschoalino Lima,184,"Rua Paula Bueno, 916 - Taquaral"
3323,Livia Martins Lima,175,"Avenida Francisco Glicério, 1017 - Centro"
3324,Clara Cristine Melo,157,"Avenida Francisco Glicério, 2338 - Centro"
3325,Vinícius Cruz Amancio,185,"Avenida Anchieta, 931 - Centro"
3326,Mariana Nascimento Camargo,197,"Avenida Albino José Barbosa de Oliveira, 1545 - Barão Geraldo"
3327,Gabriel Santana Araujo,179,"Avenida Andrade Neves, 884 - Castelo"
3328,Guilherme Fernandes Castilho,172,"Avenida Albino José Barbosa de Oliveira, 1936 - Barão Geraldo"
3329,Eduardo Cruz Machado,191,"Rua Sampaio Ferraz, 677 - Cambuí"
3330,Vitória de Almeida Mengue,193,"Avenida Albino José Barbosa de Oliveira, 3421 - Barão Geraldo"
3331,Beatriz Queiroz Campos,163,"Rua Doutor Delfino Cintra, 62 - Vila Itapura"
3332,Henrique Alves Lopes,163,"Avenida Francisco Glicério, 1393 - Centro"
3333,Sofia Bellini Mendes,151,"Avenida Brasil, 1584 - Guanabara"
3334,Miguel Cruz Rodrigues,204,"Rua Barão de Itapura, 838 - Guanabara"
3335,Sofia de Almeida Dias,186,"Avenida Albino José Barbosa de Oliveira, 2852 - Barão Geraldo"
3336,Vinícius Fernandes Castilho,154,"Avenida Anchieta, 591 - Centro"
3337,Yasmin Amorim Dias,187,"Avenida Alberto Sarmento, 569 - Castelo"
3338,Maria Martins Castilho,194,"Avenida Alberto Sarmento, 833 - Castelo"
3339,Mariana Gomes Camargo,190,"Avenida Brasil, 627 - Guanabara"
3340,João Alves Mendes,203,"Avenida Albino José Barbosa de Oliveira, 1929 - Barão Geraldo"
3341,Gabriel Vieira Lopes,196,"Avenida Francisco Glicério, 2003 - Centro"
3342,Guilherme da Silva Domingues,163,"Avenida Heitor Penteado, 2779 - Taquaral"
3343,Giovanna Cruz Camargo,188,"Rua Maria Monteiro, 185 - Cambuí"
3344,André Paschoalino Machado,174,"Rua Maria Monteiro, 118 - Cambuí"
3345,Vitória Cruz Campos,169,"Avenida Heitor Penteado, 1293 - Taquaral"
3346,Guilherme Alves Mendes,151,"Avenida Heitor Penteado, 626 - Taquaral"
3347,André Matos Ribeiro,188,"Avenida Anchieta, 870 - Centro"
3348,Larissa Alves Camargo,155,"Rua Coronel Quirino, 1376 - Cambuí"
3349,André Ponciano da Costa,166,"Rua Paula Bueno, 1072 - Taquaral"
3350,Guilherme Franco Trindade,174,"Avenida Heitor Penteado, 1196 - Taquaral"
3351,Thiago Paschoalino Mendes,177,"Avenida Heitor Penteado, 2311 - Taquaral"
3352,João de Oliveira Domingues,151,"Avenida Francisco Glicério, 678 - Centro"
3353,Sofia Ponciano Pereira,184,"Avenida Albino José Barbosa de Oliveira, 2190 - Barão Geraldo"
3354,Gabriel de Almeida Rodrigues,186,"Rua Barão de Itapura, 748 - Guanabara"
3355,Yasmin Amorim Pereira,154,"Rua Barão de Itapura, 2966 - Guanabara"
3356,Vitória Nascimento Trindade,150,"Avenida Heitor Penteado, 474 - Taquaral"
3357,Giovanna Vieira Domingues,189,"Avenida Alberto Sarmento, 921 - Castelo"
3358,Mariana Santana Machado,161,"Rua Maria Monteiro, 287 - Cambuí"
3359,Larissa Franco da Costa,185,"Avenida Albino José Barbosa de Oliveira, 1563 - Barão Geraldo"
3360,Rafael Queiroz Melo,194,"Avenida Albino José Barbosa de Oliveira, 3152 - Barão Geraldo"
3361,Guilherme Amorim Araujo,172,"Rua Sampaio Ferraz, 381 - Cambuí"
3362,Sofia Bellini Domingues,196,"Avenida Albino José Barbosa de Oliveira, 1842 - Barão Geraldo"
3363,Felipe Vieira Mendonça,180,"Rua Coronel Quirino, 1475 - Cambuí"
3364,Eduardo Mesquita Senzaki,160,"Rua Barão de Itapura, 1491 - Guanabara"
3365,Mariana Fernandes Amaral,159,"Rua Coronel Quirino, 241 - Cambuí"
3366,Miguel Bellini Rodrigues,152,"Avenida Francisco Glicério, 1239 - Centro"
3367,Vinícius Alves dos Santos,203,"Avenida Andrade Neves, 622 - Castelo"
3368,Henrique Paschoalino Silva,163,"Rua Sampaio Ferraz, 211 - Cambuí"
3369,Beatriz Gomes Mengue,165,"Avenida Andrade Neves, 1207 - Castelo"
3370,Erik Cristine Camargo,159,"Avenida Alberto Sarmento, 736 - Castelo"
3371,Giovanna Cruz Rodrigues,178,"Rua Barão de Itapura, 165 - Guanabara"
3372,Miguel Paschoalino Trindade,159,"Rua Barão de Itapura, 792 - Guanabara"
